date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:04:16	77378/77378	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202024%2003:49:07%20GMT	https://themes.pixelstrap.com/fastkart/back-end/index.html	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/index.html	(from )
09:04:17	31/31	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Aug%202018%2016:00:10%20GMT	https://themes.pixelstrap.com/robots.txt		(from )
09:04:17	404/404	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:07%20GMT	https://themes.pixelstrap.com/fastkart/back-end/assets/images/favicon.png	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/assets/images/favicon.png	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
09:04:17	9149/9149	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/back-end/assets/css/linearicon.css	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/assets/css/linearicon.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
09:04:18	79039/79039	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/font-awesome.css	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/font-awesome.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
09:04:18	17591/17591	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/themify.css	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/themify.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
09:04:18	1023/1023	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/back-end/assets/css/ratio.css	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/assets/css/ratio.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
09:04:18	110492/110492	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/back-end/assets/css/remixicon.css	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/assets/css/remixicon.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
09:04:18	2307/2307	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/feather-icon.css	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/feather-icon.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
09:04:19	3589/3589	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/scrollbar.css	C:/Users/84787/Desktop/backend/themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/scrollbar.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
